,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
airline_iata,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM
origin_iata,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW,ASW
deprt_time,2023-01-01 11:20:00,2023-01-01 14:45:00,2023-01-01 15:40:00,2023-01-01 16:00:00,2023-01-01 06:00:00,2023-01-01 06:30:00,2023-01-01 08:20:00,2023-01-01 09:05:00,2023-01-01 07:05:00,2023-01-01 07:05:00,2023-01-01 07:05:00,2023-01-01 11:50:00,2023-01-01 11:50:00,2023-01-01 13:20:00,2023-01-01 13:20:00,2023-01-01 14:20:00,2023-01-01 14:20:00,2023-01-01 16:00:00,2023-01-01 16:50:00,2023-01-01 07:20:00,2023-01-01 07:20:00,2023-01-01 07:40:00,2023-01-01 08:20:00
dest_iata,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH,SSH
duration,0 days 03:20:00,0 days 06:05:00,0 days 05:10:00,0 days 04:50:00,0 days 04:30:00,0 days 04:00:00,0 days 06:20:00,0 days 05:35:00,0 days 07:35:00,0 days 07:35:00,0 days 07:35:00,0 days 06:20:00,0 days 06:20:00,0 days 04:50:00,0 days 06:50:00,0 days 03:50:00,0 days 05:50:00,0 days 04:10:00,0 days 03:20:00,0 days 06:30:00,0 days 06:30:00,0 days 06:10:00,0 days 05:30:00
prop,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
ac_type,B738,B738,B738,B738,B738,B738,B738,B738,B738,B738,B738,A320,A320,ATR,ATR,E90,E90,A320,A320,A320,ATR,ATR,E90
capacity,162,162,162,162,162,162,162,162,162,162,162,70,70,70,70,70,106,150,150,70,70,70,70
distance,1075,1075,1075,1075,1075,1075,1075,1075,1074,1074,1074,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075
price_usd,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
flight_path,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> LXR -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH,ASW -> CAI -> SSH
city_pair,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH,ASW_SSH
arrive_time,2023-01-01 14:40:00,2023-01-01 20:50:00,2023-01-01 20:50:00,2023-01-01 20:50:00,2023-01-01 10:30:00,2023-01-01 10:30:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 14:40:00,2023-01-01 18:10:00,2023-01-01 18:10:00,2023-01-01 18:10:00,2023-01-01 20:10:00,2023-01-01 18:10:00,2023-01-01 20:10:00,2023-01-01 20:10:00,2023-01-01 20:10:00,2023-01-01 13:50:00,2023-01-01 13:50:00,2023-01-01 13:50:00,2023-01-01 13:50:00
flight_legs,"[12, 64]","[13, 65]","[14, 65]","[15, 65]","[22, 63]","[23, 63]","[27, 64]","[28, 64]","[29, 75, 64]","[29, 76, 64]","[29, 77, 64]","[101, 147]","[102, 147]","[103, 147]","[103, 148]","[104, 147]","[104, 148]","[105, 148]","[106, 148]","[110, 146]","[111, 146]","[112, 146]","[113, 146]"
service_lvl,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,2,2,1,1,2,1,1,2
first_layover,0 days 00:55:00,0 days 03:40:00,0 days 02:45:00,0 days 02:25:00,0 days 02:05:00,0 days 01:35:00,0 days 03:55:00,0 days 03:10:00,0 days 00:55:00,0 days 01:25:00,0 days 02:15:00,0 days 03:25:00,0 days 03:25:00,0 days 01:20:00,0 days 03:50:00,0 days 00:55:00,0 days 03:25:00,0 days 01:45:00,0 days 00:55:00,0 days 03:35:00,0 days 03:00:00,0 days 02:40:00,0 days 02:35:00
second_layover,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 03:50:00,0 days 03:20:00,0 days 02:30:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
first_transfer_city,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,LXR,LXR,LXR,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI,CAI
second_transfer_city,,,,,,,,,CAI,CAI,CAI,,,,,,,,,,,,
itn_no,ITN_1,ITN_2,ITN_3,ITN_4,ITN_5,ITN_6,ITN_7,ITN_8,ITN_9,ITN_10,ITN_11,ITN_12,ITN_13,ITN_14,ITN_15,ITN_16,ITN_17,ITN_18,ITN_19,ITN_20,ITN_21,ITN_22,ITN_23
nonstop_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double_itn_nonstop_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_itn_direct_mrkt,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
single_itn_direct_mrkt,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1
double_itn_direct_mrkt,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
single_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double_itn_single_mrkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
second_best_cnct,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
second_best_cnct_time_diff,0.0,165.0,110.0,90.0,70.0,40.0,180.0,135.0,0.0,30.0,80.0,150.0,150.0,25.0,175.0,0.0,150.0,50.0,0.0,160.0,125.0,105.0,100.0
best_cnct_time,0.0,165.0,110.0,90.0,70.0,40.0,180.0,135.0,0.0,30.0,80.0,150.0,150.0,25.0,175.0,0.0,150.0,50.0,0.0,160.0,125.0,105.0,100.0
distance_ratio,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.0,100.0,100.0,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618,100.09310986964618
mainline,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
mainline_seats,162,162,162,162,162,162,162,162,162,162,162,0,0,0,0,0,0,150,150,0,0,0,0
regional_seats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,106,0,0,0,0,0,70
prop_seats,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,0,0,0,0,70,70,70,0
midn_to_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_to_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_to_7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_to_8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
8_to_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9_to_10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_to_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_to_12,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12_to_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_to_14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14_to_15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
15_to_16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_to_17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17_to_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_to_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_to_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_to_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21_to_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_to_midn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itn_score,-0.4847638733705774,-5.253263873370577,-3.7141638733705777,-3.1049638733705773,-2.997963873370577,-2.202963873370577,-5.629363873370577,-4.515863873370577,-5.2435,-6.5945,-7.919500000000001,-5.990063873370579,-5.990063873370579,-1.8164638733705774,-6.581563873370577,-1.6646638733705776,-5.774463873370578,-2.094163873370577,-0.21316387337057735,-6.070763873370579,-4.353163873370578,-3.823163873370577,-4.849263873370578
exp_score,0.6158425964337934,0.00523041908379648,0.024375813863823294,0.04482613794728925,0.049888544417553776,0.11047523802911212,0.0035908588418845566,0.010934155320090287,0.005281738363176342,0.0013678706750947715,0.00036358407309115755,0.0025035041378475426,0.0025035041378475426,0.16259970870201126,0.0013856805705284615,0.18925426068885062,0.003105862347879339,0.12317318899364882,0.8080237127970443,0.002309408441047802,0.012866041590991532,0.021858533742965557,0.007834142347955533
probability,0.27871294705326355,0.002367139794503104,0.011031804162540368,0.02028704263825351,0.02257814467419497,0.049997969198310906,0.0016251211852986974,0.004948489549842477,0.0023903654493691987,0.0006190595929074983,0.00016454787164719916,0.0011330151896931043,0.0011330151896931043,0.07358803087797088,0.0006271198480307697,0.085651127486838,0.0014056254847130906,0.055744702787961724,0.3656886866655627,0.0010451729651073482,0.005822806654655656,0.009892554352433603,0.0035455113272084234
